status,host,user,time,referrer,request,agent,size
200,0,-,4533,-,/courses/netdesign/halabi/halabi-bgp4-case-studies-tutorial.pdf,-,336105
206,0,-,4536,-,/courses/netdesign/halabi/halabi-bgp4-case-studies-tutorial.pdf,-,32768
206,0,-,4542,-,/courses/netdesign/halabi/halabi-bgp4-case-studies-tutorial.pdf,-,32768
206,0,-,4545,-,/courses/netdesign/halabi/halabi-bgp4-case-studies-tutorial.pdf,-,32768
206,0,-,4549,-,/courses/netdesign/halabi/halabi-bgp4-case-studies-tutorial.pdf,-,32768
206,0,-,4553,-,/courses/netdesign/halabi/halabi-bgp4-case-studies-tutorial.pdf,-,41193
200,0,-,4555,-,/favicon.ico,-,1406
200,1,-,4338,-,/current/grad/cs_ms.php,-,11138
200,1,-,4338,-,/css/global.css,-,3682
200,1,-,4338,-,/css/page.css,-,2477
200,1,-,4338,-,/script/preload.js,-,837
200,1,-,4338,-,/images/cs_mini.gif,-,1729
200,1,-,4339,-,/images/cs.gif,-,14801
200,1,-,4339,-,/images/prospective_link.gif,-,835
200,1,-,4339,-,/images/current_link.gif,-,527
200,1,-,4339,-,/images/faculty_link.gif,-,259
200,1,-,4339,-,/images/research_link.gif,-,1413
200,1,-,4339,-,/images/alumni_link.gif,-,484
200,1,-,4340,-,/images/resources_link.gif,-,614
200,1,-,4340,-,/images/department_links.gif,-,852
200,1,-,4340,-,/~wingfiel/images/bg.gif,-,360
200,1,-,4340,-,/images/links_left.gif,-,3826
200,1,-,4340,-,/~wingfiel/images/links_right.gif,-,250
200,1,-,4340,-,/images/body_margin.gif,-,1741
200,1,-,4340,-,/images/body_top.gif,-,344
200,1,-,4340,-,/images/body_bg.gif,-,88
200,1,-,4340,-,/images/bullet.gif,-,44
200,1,-,4340,-,/images/body_bottom.gif,-,407
200,1,-,4340,-,/images/sidebar_bg.gif,-,61
200,1,-,4340,-,/images/sidebar_bottom.gif,-,355
200,1,-,4341,-,/images/prospective_link-over.gif,-,953
200,1,-,4341,-,/images/current_link-over.gif,-,724
200,1,-,4341,-,/images/faculty_link-over.gif,-,843
200,1,-,4341,-,/images/research_link-over.gif,-,551
200,1,-,4341,-,/images/resources_link-over.gif,-,732
200,1,-,4341,-,/favicon.ico,-,1406
200,1,-,4706,-,/current/grad/courses.php,-,36938
200,2,-,3126,-,/~jestes/cop3330/notes/dma.html,-,9343
200,2,-,3127,-,/favicon.ico,-,1406
200,2,-,3206,-,/~jestes/cop3014/notes/dma.html,-,7318
200,3,-,4366,-,/~breno/COP-4530/slides/21.ppt,-,571904
200,4,-,983,-,/~lacher/courses/COP4530/organizer.html,-,16848
200,4,-,983,-,/~lacher/styles/RCLstyle1.css,-,909
200,4,-,983,-,/~lacher/images/seal_01_small.gif,-,1816
200,4,-,984,-,/favicon.ico,-,1406
200,4,-,989,-,/~lacher/courses/COP4530/assigns/hw1.html,-,9578
200,4,-,1226,-,/~lacher/courses/COP4530/syllabus.html,-,31729
200,4,-,1226,-,/~lacher/images/seal_01.gif,-,3226
200,5,-,3554,-,/reference/itl/labs/vlsm/vlsm_files/image004.gif,-,12146
200,6,-,4364,-,/~baker/devices/lxr/http/source/linux/sound/soc/at91/at91-ssc.c?v=2.6.25.8,-,16359
200,7,-,1,-,/,-,17812
200,7,-,2,-,/css/global.css,-,3682
200,7,-,2,-,/css/index.css,-,2724
200,7,-,2,-,/script/preload.js,-,837
200,7,-,2,-,/~wingfiel/images/cs_mini.gif,-,1729
200,7,-,3,-,/images/facebook.png,-,773
200,7,-,3,-,/images/recognitions.gif,-,1922
200,7,-,3,-,/images/news.gif,-,2065
200,7,-,3,-,/images/InBug-60px-R.png,-,1820
200,7,-,3,-,/~wingfiel/images/bg.gif,-,360
200,7,-,3,-,/images/cs.gif,-,14801
200,7,-,4,-,/images/home_body_bg.gif,-,75
200,7,-,4,-,/images/search.gif,-,4725
200,7,-,4,-,/~wingfiel/images/links_right.gif,-,250
200,7,-,4,-,/images/arrow.gif,-,412
200,7,-,4,-,/images/bottom_bg.gif,-,471
200,7,-,4,-,/images/bullet.gif,-,44
200,7,-,4,-,/images/left_bg.gif,-,108
200,7,-,4,-,/images/research_link.gif,-,1413
200,7,-,4,-,/Scholarship.gif,-,26968
200,7,-,4,-,/images/current_link.gif,-,527
200,7,-,5,-,/images/resources_link.gif,-,614
200,7,-,5,-,/images/faculty_link.gif,-,259
200,7,-,5,-,/images/alumni_link.gif,-,484
